/cm/local/apps/slurm/var/spool/job851048/slurm_script: line 12: activate: No such file or directory
A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
Episode 0, Total Reward: 6.0, Epsilon: 0.99995125
Episode 28, Total Reward: 0.0, Epsilon: 0.9985862499999988
Episode 29, Total Reward: 0.0, Epsilon: 0.9985374999999987
Episode 30, Total Reward: 6.0, Epsilon: 0.9984887499999987
Episode 31, Total Reward: 0.0, Epsilon: 0.9984399999999987
Episode 32, Total Reward: 0.0, Epsilon: 0.9983912499999986
Episode 33, Total Reward: 6.0, Epsilon: 0.9983424999999986
Episode 34, Total Reward: 0.0, Epsilon: 0.9982937499999985
Episode 35, Total Reward: 0.0, Epsilon: 0.9982449999999985
Episode 36, Total Reward: 6.0, Epsilon: 0.9981962499999985
Episode 37, Total Reward: 0.0, Epsilon: 0.9981474999999984
Episode 38, Total Reward: 0.0, Epsilon: 0.9980987499999984
Episode 39, Total Reward: 6.0, Epsilon: 0.9980499999999983
Episode 40, Total Reward: 0.0, Epsilon: 0.9980012499999983
Episode 41, Total Reward: 0.0, Epsilon: 0.9979524999999982
Episode 42, Total Reward: 6.0, Epsilon: 0.9979037499999982
Episode 43, Total Reward: 0.0, Epsilon: 0.9978549999999982
Episode 44, Total Reward: 0.0, Epsilon: 0.9978062499999981
Episode 45, Total Reward: 6.0, Epsilon: 0.9977574999999981
Episode 46, Total Reward: 0.0, Epsilon: 0.997708749999998
Episode 47, Total Reward: 0.0, Epsilon: 0.997659999999998
Episode 48, Total Reward: 6.0, Epsilon: 0.997611249999998
Episode 49, Total Reward: 0.0, Epsilon: 0.9975624999999979
Episode 50, Total Reward: 0.0, Epsilon: 0.9975137499999979
Episode 51, Total Reward: 6.0, Epsilon: 0.9974649999999978
Episode 52, Total Reward: 0.0, Epsilon: 0.9974162499999978
Episode 53, Total Reward: 0.0, Epsilon: 0.9973674999999977
Episode 54, Total Reward: 6.0, Epsilon: 0.9973187499999977
Episode 55, Total Reward: 0.0, Epsilon: 0.9972699999999977
Episode 56, Total Reward: 0.0, Epsilon: 0.9972212499999976
Episode 57, Total Reward: 6.0, Epsilon: 0.9971724999999976
Episode 58, Total Reward: 0.0, Epsilon: 0.9971237499999975
Episode 59, Total Reward: 0.0, Epsilon: 0.9970749999999975
Episode 60, Total Reward: 6.0, Epsilon: 0.9970262499999974
Episode 61, Total Reward: 0.0, Epsilon: 0.9969774999999974
Episode 62, Total Reward: 0.0, Epsilon: 0.9969287499999974
Episode 63, Total Reward: 6.0, Epsilon: 0.9968799999999973
Episode 64, Total Reward: 0.0, Epsilon: 0.9968312499999973
Episode 65, Total Reward: 0.0, Epsilon: 0.9967824999999972
Episode 66, Total Reward: 6.0, Epsilon: 0.9967337499999972
Episode 67, Total Reward: 0.0, Epsilon: 0.9966849999999972
Episode 68, Total Reward: 0.0, Epsilon: 0.9966362499999971
Episode 69, Total Reward: 6.0, Epsilon: 0.9965874999999971
Episode 70, Total Reward: 0.0, Epsilon: 0.996538749999997
Episode 71, Total Reward: 0.0, Epsilon: 0.996489999999997
Episode 72, Total Reward: 6.0, Epsilon: 0.996441249999997
Episode 73, Total Reward: 0.0, Epsilon: 0.9963924999999969
Episode 74, Total Reward: 0.0, Epsilon: 0.9963437499999969
Episode 75, Total Reward: 6.0, Epsilon: 0.9962949999999968
Episode 76, Total Reward: 0.0, Epsilon: 0.9962462499999968
Episode 77, Total Reward: 0.0, Epsilon: 0.9961974999999967
Episode 78, Total Reward: 6.0, Epsilon: 0.9961487499999967
Episode 79, Total Reward: 0.0, Epsilon: 0.9960999999999967
Episode 80, Total Reward: 0.0, Epsilon: 0.9960512499999966
Episode 81, Total Reward: 6.0, Epsilon: 0.9960024999999966
Episode 82, Total Reward: 0.0, Epsilon: 0.9959537499999965
Episode 83, Total Reward: 0.0, Epsilon: 0.9959049999999965
Episode 84, Total Reward: 6.0, Epsilon: 0.9958562499999964
Episode 85, Total Reward: 0.0, Epsilon: 0.9958074999999964
Episode 86, Total Reward: 0.0, Epsilon: 0.9957587499999964
Episode 87, Total Reward: 6.0, Epsilon: 0.9957099999999963
Episode 88, Total Reward: 0.0, Epsilon: 0.9956612499999963
Episode 89, Total Reward: 0.0, Epsilon: 0.9956124999999962
Episode 90, Total Reward: 6.0, Epsilon: 0.9955637499999962
Episode 91, Total Reward: 0.0, Epsilon: 0.9955149999999962
Episode 92, Total Reward: 0.0, Epsilon: 0.9954662499999961
Episode 93, Total Reward: 6.0, Epsilon: 0.9954174999999961
Episode 94, Total Reward: 0.0, Epsilon: 0.995368749999996
Episode 95, Total Reward: 0.0, Epsilon: 0.995319999999996
Episode 96, Total Reward: 6.0, Epsilon: 0.9952712499999959
Episode 97, Total Reward: 0.0, Epsilon: 0.9952224999999959
Episode 98, Total Reward: 0.0, Epsilon: 0.9951737499999959
Episode 99, Total Reward: 6.0, Epsilon: 0.9951249999999958
Episode 100, Total Reward: 0.0, Epsilon: 0.9950762499999958
Episode 101, Total Reward: 0.0, Epsilon: 0.9950274999999957
Episode 102, Total Reward: 6.0, Epsilon: 0.9949787499999957
Episode 103, Total Reward: 0.0, Epsilon: 0.9949299999999957
Episode 104, Total Reward: 0.0, Epsilon: 0.9948812499999956
Episode 105, Total Reward: 6.0, Epsilon: 0.9948324999999956
Episode 106, Total Reward: 0.0, Epsilon: 0.9947837499999955
Episode 107, Total Reward: 0.0, Epsilon: 0.9947349999999955
Episode 108, Total Reward: 6.0, Epsilon: 0.9946862499999954
Episode 109, Total Reward: 0.0, Epsilon: 0.9946374999999954
Episode 110, Total Reward: 0.0, Epsilon: 0.9945887499999954
Episode 111, Total Reward: 6.0, Epsilon: 0.9945399999999953
Episode 112, Total Reward: 0.0, Epsilon: 0.9944912499999953
Episode 113, Total Reward: 0.0, Epsilon: 0.9944424999999952
Episode 114, Total Reward: 6.0, Epsilon: 0.9943937499999952
Episode 115, Total Reward: 0.0, Epsilon: 0.9943449999999951
Episode 116, Total Reward: 0.0, Epsilon: 0.9942962499999951
Episode 117, Total Reward: 6.0, Epsilon: 0.9942474999999951
Episode 118, Total Reward: 0.0, Epsilon: 0.994198749999995
Episode 119, Total Reward: 0.0, Epsilon: 0.994149999999995
Episode 120, Total Reward: 6.0, Epsilon: 0.9941012499999949
Episode 121, Total Reward: 0.0, Epsilon: 0.9940524999999949
Episode 122, Total Reward: 0.0, Epsilon: 0.9940037499999949
Episode 123, Total Reward: 6.0, Epsilon: 0.9939549999999948
Episode 124, Total Reward: 0.0, Epsilon: 0.9939062499999948
Episode 125, Total Reward: 0.0, Epsilon: 0.9938574999999947
Episode 126, Total Reward: 6.0, Epsilon: 0.9938087499999947
Episode 127, Total Reward: 0.0, Epsilon: 0.9937599999999946
Episode 128, Total Reward: 0.0, Epsilon: 0.9937112499999946
Episode 129, Total Reward: 6.0, Epsilon: 0.9936624999999946
Episode 130, Total Reward: 0.0, Epsilon: 0.9936137499999945
Episode 131, Total Reward: 0.0, Epsilon: 0.9935649999999945
Episode 132, Total Reward: 6.0, Epsilon: 0.9935162499999944
Episode 133, Total Reward: 0.0, Epsilon: 0.9934674999999944
Episode 134, Total Reward: 0.0, Epsilon: 0.9934187499999944
Episode 135, Total Reward: 6.0, Epsilon: 0.9933699999999943
Episode 136, Total Reward: 0.0, Epsilon: 0.9933212499999943
Episode 137, Total Reward: 0.0, Epsilon: 0.9932724999999942
Episode 138, Total Reward: 6.0, Epsilon: 0.9932237499999942
Episode 139, Total Reward: 0.0, Epsilon: 0.9931749999999941
Episode 140, Total Reward: 0.0, Epsilon: 0.9931262499999941
Episode 141, Total Reward: 6.0, Epsilon: 0.9930774999999941
Episode 142, Total Reward: 0.0, Epsilon: 0.993028749999994
Episode 143, Total Reward: 0.0, Epsilon: 0.992979999999994
Episode 144, Total Reward: 6.0, Epsilon: 0.9929312499999939
Episode 145, Total Reward: 0.0, Epsilon: 0.9928824999999939
Episode 146, Total Reward: 0.0, Epsilon: 0.9928337499999939
Episode 147, Total Reward: 6.0, Epsilon: 0.9927849999999938
Episode 148, Total Reward: 0.0, Epsilon: 0.9927362499999938
Episode 149, Total Reward: 0.0, Epsilon: 0.9926874999999937
Episode 150, Total Reward: 6.0, Epsilon: 0.9926387499999937
Episode 151, Total Reward: 0.0, Epsilon: 0.9925899999999936
Episode 152, Total Reward: 0.0, Epsilon: 0.9925412499999936
Episode 153, Total Reward: 6.0, Epsilon: 0.9924924999999936
Episode 154, Total Reward: 0.0, Epsilon: 0.9924437499999935
Episode 155, Total Reward: 0.0, Epsilon: 0.9923949999999935
Episode 156, Total Reward: 6.0, Epsilon: 0.9923462499999934
Episode 157, Total Reward: 0.0, Epsilon: 0.9922974999999934
Episode 158, Total Reward: 0.0, Epsilon: 0.9922487499999934
Episode 159, Total Reward: 6.0, Epsilon: 0.9921999999999933
Episode 160, Total Reward: 0.0, Epsilon: 0.9921512499999933
Episode 161, Total Reward: 0.0, Epsilon: 0.9921024999999932
Episode 162, Total Reward: 6.0, Epsilon: 0.9920537499999932
Episode 163, Total Reward: 0.0, Epsilon: 0.9920049999999931
Episode 164, Total Reward: 0.0, Epsilon: 0.9919562499999931
Episode 165, Total Reward: 6.0, Epsilon: 0.9919074999999931
Episode 166, Total Reward: 0.0, Epsilon: 0.991858749999993
Episode 167, Total Reward: 0.0, Epsilon: 0.991809999999993
Episode 168, Total Reward: 6.0, Epsilon: 0.9917612499999929
Episode 169, Total Reward: 0.0, Epsilon: 0.9917124999999929
Episode 170, Total Reward: 0.0, Epsilon: 0.9916637499999928
Episode 171, Total Reward: 6.0, Epsilon: 0.9916149999999928
Episode 172, Total Reward: 0.0, Epsilon: 0.9915662499999928
Episode 173, Total Reward: 0.0, Epsilon: 0.9915174999999927
Episode 174, Total Reward: 6.0, Epsilon: 0.9914687499999927
Episode 175, Total Reward: 0.0, Epsilon: 0.9914199999999926
Episode 176, Total Reward: 0.0, Epsilon: 0.9913712499999926
Episode 177, Total Reward: 6.0, Epsilon: 0.9913224999999926
Episode 178, Total Reward: 0.0, Epsilon: 0.9912737499999925
Episode 179, Total Reward: 0.0, Epsilon: 0.9912249999999925
Episode 180, Total Reward: 6.0, Epsilon: 0.9911762499999924
Episode 181, Total Reward: 0.0, Epsilon: 0.9911274999999924
Episode 182, Total Reward: 0.0, Epsilon: 0.9910787499999923
Episode 183, Total Reward: 6.0, Epsilon: 0.9910299999999923
Episode 184, Total Reward: 0.0, Epsilon: 0.9909812499999923
Episode 185, Total Reward: 0.0, Epsilon: 0.9909324999999922
Episode 186, Total Reward: 6.0, Epsilon: 0.9908837499999922
Episode 187, Total Reward: 0.0, Epsilon: 0.9908349999999921
Episode 188, Total Reward: 0.0, Epsilon: 0.9907862499999921
Episode 189, Total Reward: 6.0, Epsilon: 0.990737499999992
Episode 190, Total Reward: 0.0, Epsilon: 0.990688749999992
Episode 191, Total Reward: 0.0, Epsilon: 0.990639999999992
Episode 192, Total Reward: 6.0, Epsilon: 0.9905912499999919
Episode 193, Total Reward: 0.0, Epsilon: 0.9905424999999919
Episode 194, Total Reward: 0.0, Epsilon: 0.9904937499999918
Episode 195, Total Reward: 6.0, Epsilon: 0.9904449999999918
Episode 196, Total Reward: 0.0, Epsilon: 0.9903962499999918
Episode 197, Total Reward: 0.0, Epsilon: 0.9903474999999917
Episode 198, Total Reward: 6.0, Epsilon: 0.9902987499999917
Episode 199, Total Reward: 0.0, Epsilon: 0.9902499999999916
Episode 200, Total Reward: 0.0, Epsilon: 0.9902012499999916
Episode 201, Total Reward: 6.0, Epsilon: 0.9901524999999916
Episode 202, Total Reward: 0.0, Epsilon: 0.9901037499999915
Episode 203, Total Reward: 0.0, Epsilon: 0.9900549999999915
Episode 204, Total Reward: 6.0, Epsilon: 0.9900062499999914
Episode 205, Total Reward: 0.0, Epsilon: 0.9899574999999914
Episode 206, Total Reward: 0.0, Epsilon: 0.9899087499999913
Episode 207, Total Reward: 6.0, Epsilon: 0.9898599999999913
Episode 208, Total Reward: 0.0, Epsilon: 0.9898112499999913
Episode 209, Total Reward: 0.0, Epsilon: 0.9897624999999912
Episode 210, Total Reward: 6.0, Epsilon: 0.9897137499999912
Episode 211, Total Reward: 0.0, Epsilon: 0.9896649999999911
Episode 212, Total Reward: 0.0, Epsilon: 0.9896162499999911
Episode 213, Total Reward: 6.0, Epsilon: 0.989567499999991
Episode 214, Total Reward: 0.0, Epsilon: 0.989518749999991
Episode 215, Total Reward: 0.0, Epsilon: 0.989469999999991
Episode 216, Total Reward: 6.0, Epsilon: 0.9894212499999909
Episode 217, Total Reward: 0.0, Epsilon: 0.9893724999999909
Episode 218, Total Reward: 0.0, Epsilon: 0.9893237499999908
Episode 219, Total Reward: 6.0, Epsilon: 0.9892749999999908
Episode 220, Total Reward: 0.0, Epsilon: 0.9892262499999908
Episode 221, Total Reward: 0.0, Epsilon: 0.9891774999999907
Episode 222, Total Reward: 6.0, Epsilon: 0.9891287499999907
Episode 223, Total Reward: 0.0, Epsilon: 0.9890799999999906
Episode 224, Total Reward: 0.0, Epsilon: 0.9890312499999906
Episode 225, Total Reward: 6.0, Epsilon: 0.9889824999999905
Episode 226, Total Reward: 0.0, Epsilon: 0.9889337499999905
Episode 227, Total Reward: 0.0, Epsilon: 0.9888849999999905
Episode 228, Total Reward: 6.0, Epsilon: 0.9888362499999904
Episode 229, Total Reward: 0.0, Epsilon: 0.9887874999999904
Episode 230, Total Reward: 0.0, Epsilon: 0.9887387499999903
Episode 231, Total Reward: 6.0, Epsilon: 0.9886899999999903
Episode 232, Total Reward: 0.0, Epsilon: 0.9886412499999903
Episode 233, Total Reward: 0.0, Epsilon: 0.9885924999999902
Episode 234, Total Reward: 6.0, Epsilon: 0.9885437499999902
Episode 235, Total Reward: 0.0, Epsilon: 0.9884949999999901
Episode 236, Total Reward: 0.0, Epsilon: 0.9884462499999901
Episode 237, Total Reward: 6.0, Epsilon: 0.98839749999999
Episode 238, Total Reward: 0.0, Epsilon: 0.98834874999999
Episode 239, Total Reward: 0.0, Epsilon: 0.98829999999999
Episode 240, Total Reward: 6.0, Epsilon: 0.9882512499999899
Episode 241, Total Reward: 0.0, Epsilon: 0.9882024999999899
Episode 242, Total Reward: 0.0, Epsilon: 0.9881537499999898
Episode 243, Total Reward: 6.0, Epsilon: 0.9881049999999898
Episode 244, Total Reward: 0.0, Epsilon: 0.9880562499999898
Episode 245, Total Reward: 0.0, Epsilon: 0.9880074999999897
Episode 246, Total Reward: 6.0, Epsilon: 0.9879587499999897
Episode 247, Total Reward: 0.0, Epsilon: 0.9879099999999896
Episode 248, Total Reward: 0.0, Epsilon: 0.9878612499999896
Episode 249, Total Reward: 6.0, Epsilon: 0.9878124999999895
Episode 250, Total Reward: 0.0, Epsilon: 0.9877637499999895
Episode 251, Total Reward: 0.0, Epsilon: 0.9877149999999895
Episode 252, Total Reward: 6.0, Epsilon: 0.9876662499999894
Episode 253, Total Reward: 0.0, Epsilon: 0.9876174999999894
Episode 254, Total Reward: 0.0, Epsilon: 0.9875687499999893
Episode 255, Total Reward: 6.0, Epsilon: 0.9875199999999893
Episode 256, Total Reward: 0.0, Epsilon: 0.9874712499999893
Episode 257, Total Reward: 0.0, Epsilon: 0.9874224999999892
Episode 258, Total Reward: 6.0, Epsilon: 0.9873737499999892
Episode 259, Total Reward: 0.0, Epsilon: 0.9873249999999891
Episode 260, Total Reward: 0.0, Epsilon: 0.9872762499999891
Episode 261, Total Reward: 6.0, Epsilon: 0.987227499999989
Episode 262, Total Reward: 0.0, Epsilon: 0.987178749999989
Episode 263, Total Reward: 0.0, Epsilon: 0.987129999999989
Episode 264, Total Reward: 6.0, Epsilon: 0.9870812499999889
Episode 265, Total Reward: 0.0, Epsilon: 0.9870324999999889
Episode 266, Total Reward: 0.0, Epsilon: 0.9869837499999888
Episode 267, Total Reward: 6.0, Epsilon: 0.9869349999999888
Episode 268, Total Reward: 0.0, Epsilon: 0.9868862499999888
Episode 269, Total Reward: 0.0, Epsilon: 0.9868374999999887
Episode 270, Total Reward: 6.0, Epsilon: 0.9867887499999887
Episode 271, Total Reward: 0.0, Epsilon: 0.9867399999999886
Episode 272, Total Reward: 0.0, Epsilon: 0.9866912499999886
Episode 273, Total Reward: 6.0, Epsilon: 0.9866424999999885
Episode 274, Total Reward: 0.0, Epsilon: 0.9865937499999885
Episode 275, Total Reward: 0.0, Epsilon: 0.9865449999999885
Episode 276, Total Reward: 6.0, Epsilon: 0.9864962499999884
Episode 277, Total Reward: 0.0, Epsilon: 0.9864474999999884
Episode 278, Total Reward: 0.0, Epsilon: 0.9863987499999883
Episode 279, Total Reward: 6.0, Epsilon: 0.9863499999999883
Episode 280, Total Reward: 0.0, Epsilon: 0.9863012499999882
Episode 281, Total Reward: 0.0, Epsilon: 0.9862524999999882
Episode 282, Total Reward: 6.0, Epsilon: 0.9862037499999882
Episode 283, Total Reward: 0.0, Epsilon: 0.9861549999999881
Episode 284, Total Reward: 0.0, Epsilon: 0.9861062499999881
Episode 285, Total Reward: 6.0, Epsilon: 0.986057499999988
Episode 286, Total Reward: 0.0, Epsilon: 0.986008749999988
Episode 287, Total Reward: 0.0, Epsilon: 0.985959999999988
Episode 288, Total Reward: 6.0, Epsilon: 0.9859112499999879
Episode 289, Total Reward: 0.0, Epsilon: 0.9858624999999879
Episode 290, Total Reward: 0.0, Epsilon: 0.9858137499999878
Episode 291, Total Reward: 6.0, Epsilon: 0.9857649999999878
Episode 292, Total Reward: 0.0, Epsilon: 0.9857162499999877
Episode 293, Total Reward: 0.0, Epsilon: 0.9856674999999877
Episode 294, Total Reward: 6.0, Epsilon: 0.9856187499999877
Episode 295, Total Reward: 0.0, Epsilon: 0.9855699999999876
Episode 296, Total Reward: 0.0, Epsilon: 0.9855212499999876
Episode 297, Total Reward: 6.0, Epsilon: 0.9854724999999875
Episode 298, Total Reward: 0.0, Epsilon: 0.9854237499999875
Episode 299, Total Reward: 0.0, Epsilon: 0.9853749999999875
Episode 300, Total Reward: 6.0, Epsilon: 0.9853262499999874
Episode 301, Total Reward: 0.0, Epsilon: 0.9852774999999874
Episode 302, Total Reward: 0.0, Epsilon: 0.9852287499999873
Episode 303, Total Reward: 6.0, Epsilon: 0.9851799999999873
Episode 304, Total Reward: 0.0, Epsilon: 0.9851312499999872
Episode 305, Total Reward: 0.0, Epsilon: 0.9850824999999872
Episode 306, Total Reward: 6.0, Epsilon: 0.9850337499999872
Episode 307, Total Reward: 0.0, Epsilon: 0.9849849999999871
Episode 308, Total Reward: 0.0, Epsilon: 0.9849362499999871
Episode 309, Total Reward: 6.0, Epsilon: 0.984887499999987
Episode 310, Total Reward: 0.0, Epsilon: 0.984838749999987
Episode 311, Total Reward: 0.0, Epsilon: 0.984789999999987
Episode 312, Total Reward: 6.0, Epsilon: 0.9847412499999869
Episode 313, Total Reward: 0.0, Epsilon: 0.9846924999999869
Episode 314, Total Reward: 0.0, Epsilon: 0.9846437499999868
Episode 315, Total Reward: 6.0, Epsilon: 0.9845949999999868
Episode 316, Total Reward: 0.0, Epsilon: 0.9845462499999867
Episode 317, Total Reward: 0.0, Epsilon: 0.9844974999999867
Episode 318, Total Reward: 6.0, Epsilon: 0.9844487499999867
Episode 319, Total Reward: 0.0, Epsilon: 0.9843999999999866
Episode 320, Total Reward: 0.0, Epsilon: 0.9843512499999866
Episode 321, Total Reward: 6.0, Epsilon: 0.9843024999999865
Episode 322, Total Reward: 0.0, Epsilon: 0.9842537499999865
Episode 323, Total Reward: 0.0, Epsilon: 0.9842049999999865
Episode 324, Total Reward: 6.0, Epsilon: 0.9841562499999864
Episode 325, Total Reward: 0.0, Epsilon: 0.9841074999999864
Episode 326, Total Reward: 0.0, Epsilon: 0.9840587499999863
Episode 327, Total Reward: 6.0, Epsilon: 0.9840099999999863
Episode 328, Total Reward: 0.0, Epsilon: 0.9839612499999862
Episode 329, Total Reward: 0.0, Epsilon: 0.9839124999999862
Episode 330, Total Reward: 6.0, Epsilon: 0.9838637499999862
Episode 331, Total Reward: 0.0, Epsilon: 0.9838149999999861
Episode 332, Total Reward: 0.0, Epsilon: 0.9837662499999861
Episode 333, Total Reward: 6.0, Epsilon: 0.983717499999986
Episode 334, Total Reward: 0.0, Epsilon: 0.983668749999986
Episode 335, Total Reward: 0.0, Epsilon: 0.983619999999986
Episode 336, Total Reward: 6.0, Epsilon: 0.9835712499999859
Episode 337, Total Reward: 0.0, Epsilon: 0.9835224999999859
Episode 338, Total Reward: 0.0, Epsilon: 0.9834737499999858
Episode 339, Total Reward: 6.0, Epsilon: 0.9834249999999858
Episode 340, Total Reward: 0.0, Epsilon: 0.9833762499999857
Episode 341, Total Reward: 0.0, Epsilon: 0.9833274999999857
Episode 342, Total Reward: 6.0, Epsilon: 0.9832787499999857
Episode 343, Total Reward: 0.0, Epsilon: 0.9832299999999856
Episode 344, Total Reward: 0.0, Epsilon: 0.9831812499999856
Episode 345, Total Reward: 6.0, Epsilon: 0.9831324999999855
Episode 346, Total Reward: 0.0, Epsilon: 0.9830837499999855
Episode 347, Total Reward: 0.0, Epsilon: 0.9830349999999854
Episode 348, Total Reward: 6.0, Epsilon: 0.9829862499999854
Episode 349, Total Reward: 0.0, Epsilon: 0.9829374999999854
Episode 350, Total Reward: 0.0, Epsilon: 0.9828887499999853
Episode 351, Total Reward: 6.0, Epsilon: 0.9828399999999853
Episode 352, Total Reward: 0.0, Epsilon: 0.9827912499999852
Episode 353, Total Reward: 0.0, Epsilon: 0.9827424999999852
Episode 354, Total Reward: 6.0, Epsilon: 0.9826937499999852
Episode 355, Total Reward: 0.0, Epsilon: 0.9826449999999851
Episode 356, Total Reward: 0.0, Epsilon: 0.9825962499999851
Episode 357, Total Reward: 6.0, Epsilon: 0.982547499999985
Episode 358, Total Reward: 0.0, Epsilon: 0.982498749999985
Episode 359, Total Reward: 0.0, Epsilon: 0.982449999999985
Episode 360, Total Reward: 6.0, Epsilon: 0.9824012499999849
Episode 361, Total Reward: 0.0, Epsilon: 0.9823524999999849
Episode 362, Total Reward: 0.0, Epsilon: 0.9823037499999848
Episode 363, Total Reward: 6.0, Epsilon: 0.9822549999999848
Episode 364, Total Reward: 0.0, Epsilon: 0.9822062499999847
Episode 365, Total Reward: 0.0, Epsilon: 0.9821574999999847
Episode 366, Total Reward: 6.0, Epsilon: 0.9821087499999847
Episode 367, Total Reward: 0.0, Epsilon: 0.9820599999999846
Episode 368, Total Reward: 0.0, Epsilon: 0.9820112499999846
Episode 369, Total Reward: 6.0, Epsilon: 0.9819624999999845
Episode 370, Total Reward: 0.0, Epsilon: 0.9819137499999845
Episode 371, Total Reward: 0.0, Epsilon: 0.9818649999999844
Episode 372, Total Reward: 6.0, Epsilon: 0.9818162499999844
Episode 373, Total Reward: 0.0, Epsilon: 0.9817674999999844
Episode 374, Total Reward: 0.0, Epsilon: 0.9817187499999843
Episode 375, Total Reward: 6.0, Epsilon: 0.9816699999999843
Episode 376, Total Reward: 0.0, Epsilon: 0.9816212499999842
Episode 377, Total Reward: 0.0, Epsilon: 0.9815724999999842
Episode 378, Total Reward: 6.0, Epsilon: 0.9815237499999842
Episode 379, Total Reward: 0.0, Epsilon: 0.9814749999999841
Episode 380, Total Reward: 0.0, Epsilon: 0.9814262499999841
Episode 381, Total Reward: 6.0, Epsilon: 0.981377499999984
Episode 382, Total Reward: 0.0, Epsilon: 0.981328749999984
Episode 383, Total Reward: 0.0, Epsilon: 0.9812799999999839
Episode 384, Total Reward: 6.0, Epsilon: 0.9812312499999839
Episode 385, Total Reward: 0.0, Epsilon: 0.9811824999999839
Episode 386, Total Reward: 0.0, Epsilon: 0.9811337499999838
Episode 387, Total Reward: 6.0, Epsilon: 0.9810849999999838
Episode 388, Total Reward: 0.0, Epsilon: 0.9810362499999837
Episode 389, Total Reward: 0.0, Epsilon: 0.9809874999999837
Episode 390, Total Reward: 6.0, Epsilon: 0.9809387499999837
Episode 391, Total Reward: 0.0, Epsilon: 0.9808899999999836
Episode 392, Total Reward: 0.0, Epsilon: 0.9808412499999836
Episode 393, Total Reward: 6.0, Epsilon: 0.9807924999999835
Episode 394, Total Reward: 0.0, Epsilon: 0.9807437499999835
Episode 395, Total Reward: 0.0, Epsilon: 0.9806949999999834
Episode 396, Total Reward: 6.0, Epsilon: 0.9806462499999834
Episode 397, Total Reward: 0.0, Epsilon: 0.9805974999999834
Episode 398, Total Reward: 0.0, Epsilon: 0.9805487499999833
Episode 399, Total Reward: 6.0, Epsilon: 0.9804999999999833
Episode 400, Total Reward: 0.0, Epsilon: 0.9804512499999832
Episode 401, Total Reward: 0.0, Epsilon: 0.9804024999999832
Episode 402, Total Reward: 6.0, Epsilon: 0.9803537499999831
Episode 403, Total Reward: 0.0, Epsilon: 0.9803049999999831
Episode 404, Total Reward: 0.0, Epsilon: 0.9802562499999831
Episode 405, Total Reward: 6.0, Epsilon: 0.980207499999983
Episode 406, Total Reward: 0.0, Epsilon: 0.980158749999983
Episode 407, Total Reward: 0.0, Epsilon: 0.9801099999999829
Episode 408, Total Reward: 6.0, Epsilon: 0.9800612499999829
Episode 409, Total Reward: 0.0, Epsilon: 0.9800124999999829
Episode 410, Total Reward: 0.0, Epsilon: 0.9799637499999828
Episode 411, Total Reward: 6.0, Epsilon: 0.9799149999999828
Episode 412, Total Reward: 0.0, Epsilon: 0.9798662499999827
Episode 413, Total Reward: 0.0, Epsilon: 0.9798174999999827
Episode 414, Total Reward: 6.0, Epsilon: 0.9797687499999826
Episode 415, Total Reward: 0.0, Epsilon: 0.9797199999999826
Episode 416, Total Reward: 0.0, Epsilon: 0.9796712499999826
Episode 417, Total Reward: 6.0, Epsilon: 0.9796224999999825
Episode 418, Total Reward: 0.0, Epsilon: 0.9795737499999825
